Time:10,MemFree,Buffers,Cached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Dirty,Writeback,Mapped,Slab
802,74724,49036,1919760,1121068,1587776,742724,37444,378344,1550332,68,0,341244,322864
813,79936,49716,1920076,1120892,1587480,741192,37436,379700,1550044,140,0,341436,323816
822,75848,50176,1920624,1123128,1588452,743392,37588,379736,1550864,140,0,338456,324080
832,70056,50356,1920256,1138008,1588176,758232,37484,379776,1550692,48,0,335376,323168
843,79288,50808,1914372,1153396,1576140,766968,43256,386428,1532884,152,0,349852,323880
852,72284,50744,1895884,1166796,1553156,775828,49636,390968,1503520,84,8,356852,323736
863,73364,50800,1898784,1166384,1555952,775364,52472,391020,1503480,60,0,359684,324208
873,74740,50668,1884968,1167420,1537312,771704,47040,395716,1490272,16,0,350940,323896
882,84256,50736,1885360,1163084,1537728,767328,47040,395756,1490688,28,0,350180,324040
893,99544,50752,1885508,1144516,1537900,748768,47040,395748,1490860,4,0,350552,324104
902,101916,50768,1885544,1142632,1537932,746868,47040,395764,1490892,48,0,350524,324104
913,80280,50816,1885564,1148784,1537988,753004,47040,395780,1490948,24,0,350560,324104
922,87164,50844,1886144,1141592,1538584,745800,47040,395792,1491544,76,0,350184,323984
932,83620,50868,1886156,1143744,1538612,747944,47040,395800,1491572,32,0,350220,324128
942,86120,50988,1886184,1153088,1538736,757264,47040,395824,1491696,148,0,352208,324192
952,74112,51016,1886196,1153728,1538748,757876,47040,395852,1491708,124,0,350256,324144
963,90792,51084,1886208,1147536,1538816,751672,47040,395864,1491776,108,0,350316,324320
972,95636,51100,1886244,1143460,1538836,747572,47040,395888,1491796,16,0,350228,324264
982,95352,51108,1886252,1144868,1538852,748972,47040,395896,1491812,36,0,350228,324192
992,81172,51200,1886492,1157728,1539164,761820,47040,395908,1492124,20,0,352296,324288
1002,92940,51236,1886488,1148116,1539176,752180,47040,395936,1492136,80,0,350328,324264
1012,96244,51724,1887092,1146724,1535636,746156,47040,400568,1488596,268,220,350240,320752
1022,91916,51772,1887128,1149608,1535728,749048,47040,400560,1488688,80,0,350464,324440
1033,76528,52404,1887824,1151824,1537016,751224,47236,400600,1489780,40,0,342848,325512
1043,67204,52792,1886984,1189632,1533900,786368,47240,403264,1486660,28,0,355540,325208
1052,86532,53048,1885276,1170092,1530036,764416,47044,405676,1482992,104,0,354140,325088
1063,67456,53112,1887912,1174760,1532628,768976,47044,405784,1485584,88,0,355004,325432
1072,64340,53144,1888332,1176100,1533056,770292,47044,405808,1486012,12,0,355068,325624
1082,83044,53172,1888084,1176352,1532768,770476,47044,405876,1485724,120,0,353512,325760
1093,79716,52644,1861240,1200124,1493408,782264,47236,417860,1446172,44,0,356092,324392
1102,85440,52668,1861084,1192212,1493244,774316,47044,417896,1446200,68,0,355372,324672
1113,65104,52716,1861204,1200104,1493412,782208,47044,417896,1446368,80,0,355212,324712
1123,82148,52756,1862044,1183232,1493972,765016,47044,418216,1446928,84,0,352324,325168
1132,72572,52772,1861272,1191936,1493480,773984,47044,417952,1446436,4,0,353512,325408
1142,79412,52824,1861292,1198280,1493492,780268,47044,418012,1446448,76,0,352928,325440
1152,84992,52856,1861308,1189592,1493520,771560,47044,418032,1446476,96,0,352996,325504
1162,70968,52940,1861344,1203248,1493628,785204,47044,418044,1446584,124,0,353000,325784
1172,86044,52964,1861360,1187568,1493660,769516,47044,418052,1446616,44,0,352984,325896
1182,86076,52972,1861368,1187988,1493660,769920,47044,418068,1446616,28,0,352984,325856
1192,68020,53020,1861380,1194432,1493704,776356,47044,418076,1446660,60,0,353024,325744
1202,71068,53096,1861572,1202592,1493956,784492,47044,418100,1446912,124,0,352928,325688
1212,81368,53256,1861580,1187444,1494120,769340,47048,418104,1447072,120,0,352308,325784
1224,76508,53808,1861484,1194784,1494464,776568,47240,418216,1447224,0,0,356448,327024
1256,64744,54520,1848988,1213972,1482560,795644,47044,418328,1435516,72,0,354148,325616
1266,93180,54628,1849564,1186540,1483240,768200,47240,418340,1436000,8,0,355240,325800
1276,100104,54648,1849568,1178892,1483236,760524,47240,418368,1435996,44,0,354924,325928
1287,99300,54664,1849548,1179560,1483240,761200,47240,418360,1436000,24,0,354940,325960
1296,93964,54672,1849580,1184884,1483252,766496,47240,418388,1436012,12,0,355144,325992
1307,66404,54720,1849572,1198880,1483312,780488,47240,418392,1436072,4,0,357028,326344
1317,61116,54736,1834308,1233212,1467840,814620,47048,418592,1420792,68,0,361964,325808
1327,64868,54752,1834444,1227416,1467976,808808,47052,418608,1420924,20,36,360216,327680
1337,74508,54296,1832596,1222032,1465636,803388,47048,418644,1418588,72,0,360484,327544
1346,70072,54308,1832600,1222868,1465644,804216,47048,418652,1418596,28,0,359940,327760
1356,88416,54352,1832880,1197260,1465932,778580,47044,418680,1418888,8,0,355988,327504
1366,90672,54368,1832892,1194676,1465968,775996,47044,418680,1418924,4,0,355996,327360
1376,90828,54376,1832904,1194272,1465960,775564,47044,418708,1418916,4,0,355972,327376
1386,91260,54396,1832908,1193736,1465992,775036,47044,418700,1418948,8,0,355988,327344
1397,79672,54412,1832896,1204064,1465980,785348,47044,418716,1418936,4,0,357212,327712
1406,78884,54476,1832996,1217780,1466088,799008,47044,418772,1419044,116,0,356384,327920
1416,68244,54528,1833648,1215572,1466776,796784,47044,418788,1419732,112,0,356588,328056
1427,73940,54604,1833896,1220796,1467084,801992,47044,418804,1420040,128,4,358640,328088
1438,60124,54828,1837852,1223804,1470456,804192,47044,419612,1423412,16,0,360392,330840
1448,63536,54112,1833264,1225704,1465104,806044,47044,419660,1418060,8,0,360112,331232
1458,60960,54136,1834080,1227364,1465936,807696,47044,419668,1418892,4,0,360556,331544
1468,65932,54152,1834084,1220852,1465944,801172,47044,419680,1418900,40,0,360676,331832
1477,95224,54424,1817376,1221684,1449320,801756,47240,419928,1402080,324,0,364920,331416
1487,107608,54464,1817864,1214188,1449752,794224,47240,419964,1402512,76,0,364756,331848
1497,64012,54520,1818048,1224804,1449976,804824,47240,419980,1402736,104,4,363852,332344
1507,79104,54588,1818304,1222036,1450284,802040,47240,419996,1403044,116,0,364156,332432
1517,80484,54900,1818372,1223856,1450636,803832,47240,420024,1403396,220,0,362548,329608
1528,96548,54972,1818400,1218448,1450708,798396,47240,420052,1403468,128,0,362448,329576
1537,98640,55028,1818420,1205224,1450744,784992,47240,420232,1403504,136,0,361020,329512
1548,88272,55048,1818428,1213156,1450768,793060,47240,420096,1403528,72,0,362236,329880
1557,89332,55100,1821396,1222048,1453740,801908,50180,420140,1403560,112,0,364024,329688
1567,71512,55132,1823932,1229268,1456208,809024,52704,420244,1403504,28,0,373208,330120
1578,65408,54128,1803776,1242760,1434944,822412,47540,420348,1387404,356,0,368052,329600
1587,106348,54152,1804368,1215560,1435492,795148,47540,420412,1387952,452,0,367848,329776
1597,97444,54164,1803496,1223552,1434624,803128,47540,420424,1387084,16,0,369012,330112
1608,65276,51676,1759304,1252688,1387704,832020,47540,420668,1340164,164,0,372660,329648
1618,70972,52960,1727608,1282492,1356640,861176,47540,421316,1309100,156,0,378048,330904
1628,93304,52860,1718224,1289388,1347128,868044,47540,421344,1299588,108,0,376492,330480
1637,79848,52948,1713532,1294896,1342496,873532,47540,421364,1294956,228,0,374396,331024
1647,70816,52768,1706264,1300240,1334968,878788,47540,421452,1287428,136,0,375020,330832
1657,89160,52832,1706292,1280624,1335036,859148,47540,421476,1287496,140,0,374392,330968
1668,66872,52896,1706284,1282840,1335060,861332,47540,421508,1287520,80,0,375720,331088
1678,100908,52924,1706332,1263960,1335104,842428,47540,421532,1287564,104,0,375532,331208
1688,90628,52948,1706308,1273216,1335092,851668,47540,421548,1287552,8,0,376672,331744
1697,62556,53176,1701780,1308256,1330828,886668,47540,421588,1283288,16,0,378916,332176
1707,57072,53348,1691060,1320152,1320200,898556,47544,421596,1272656,180,0,381912,332192
1717,70188,52892,1682980,1321576,1310704,899020,47544,422556,1263160,184,0,382032,332656
1728,79076,52916,1670964,1322880,1296312,897924,47544,424956,1248768,12,0,382896,331848
1737,91148,52956,1673028,1308788,1297696,883112,47540,425676,1250156,172,0,378468,331680
1748,105416,52976,1670984,1299440,1295664,873764,47540,425676,1248124,36,0,378300,331840
1758,108036,52992,1670976,1297400,1295684,871728,47540,425672,1248144,44,0,378300,331984
1768,106860,53008,1670984,1297428,1295700,871748,47540,425680,1248160,8,0,378320,331976
