Loop:10,Time,PID,%CPU,Command,Thread/avgs
49,2509,3052,17.6,com.android.mms,
49,2509,834,14.1,system_server,
49,2509,7295,10.6,/sbin/adbd,--root_seclabel=u:r:su:s0,
49,2509,251,7,/system/bin/surfaceflinger,
49,2509,4286,3.5,android.process.acore,d.process.acore
49,2509,10441,3.5,com.android.testing.dummyime,esting.dummyime
49,2509,7135,3.5,uiautomator,
49,2509,7050,3.5,logcat,-v time,
49,2509,21224,3.5,[kworker/u16:1],
50,2519,3052,4.3,com.android.mms,
51,2529,251,2.8,/system/bin/surfaceflinger,
51,2529,834,1.9,system_server,
51,2529,21250,1.9,com.android.contacts,ndroid.contacts
51,2529,22449,1.9,com.mediatek.providers.drm,k.providers.drm
51,2529,21296,1.9,com.mediatek.ppl,om.mediatek.ppl
51,2529,2634,0.9,com.android.phone,m.android.phone
51,2529,3052,0.9,com.android.mms,
51,2529,7135,0.9,uiautomator,
51,2529,7295,0.9,/sbin/adbd,--root_seclabel=u:r:su:s0,
51,2529,7050,0.9,logcat,-v time,
51,2529,21224,0.9,[kworker/u16:1],
55,2569,1878,1.2,com.android.systemui,ndroid.systemui
55,2569,7295,1.2,/sbin/adbd,--root_seclabel=u:r:su:s0,
55,2569,7050,1.2,logcat,-v time,
56,2579,1027,1.2,com.mediatek.mtklogger,iatek.mtklogger
58,2599,2976,3.3,com.android.launcher3,droid.launcher3
58,2599,251,1.1,/system/bin/surfaceflinger,
59,2609,1878,1.7,com.android.systemui,ndroid.systemui
59,2609,284,1.7,/system/bin/aal,Binder_2
60,2619,834,10.1,system_server,
60,2619,2681,3.3,com.android.settings,ndroid.settings
60,2619,4010,1.1,uiautomator,
61,2630,4674,2.8,com.android.launcher3:cde,d.launcher3:cde
62,2639,2681,9.3,com.android.settings,ndroid.settings
62,2639,834,5.3,system_server,
62,2639,7295,5.3,/sbin/adbd,--root_seclabel=u:r:su:s0,
62,2639,2634,3.9,com.android.phone,m.android.phone
62,2639,4006,2.6,logcat,-v time,
62,2639,153,2.6,[mmcqd/0],
62,2639,4172,1.3,com.stv.stvpush,
62,2639,3017,1.3,com.letv.app.appstore,tv.app.appstore
62,2639,251,1.3,/system/bin/surfaceflinger,
62,2639,249,1.3,/system/bin/servicemanager,
62,2639,7158,1.3,[kworker/u16:7],
63,2649,834,7.1,system_server,
64,2659,2681,5.1,com.android.settings,ndroid.settings
64,2659,251,2,/system/bin/surfaceflinger,
64,2659,7154,1,[kworker/u16:4],
65,2669,15704,3.8,/system/bin/gsm0710muxd,-s /dev/ttyC0 -f 512 -n 8 -m basic,
65,2669,7295,3.8,/sbin/adbd,--root_seclabel=u:r:su:s0,
65,2669,12,3.8,[ksoftirqd/1],
66,2679,834,33.2,system_server,
71,2729,2976,1.4,com.android.launcher3,droid.launcher3
71,2729,251,1.4,/system/bin/surfaceflinger,
71,2729,284,0.7,/system/bin/aal,Binder_2
71,2729,7295,0.7,/sbin/adbd,--root_seclabel=u:r:su:s0,
71,2729,7157,0.7,[kworker/u16:6],
71,2729,30912,0.7,[kworker/u16:8],
72,2739,834,52.3,system_server,
73,2749,2634,12.6,com.android.phone,m.android.phone
73,2749,834,7.2,system_server,
73,2749,7295,7.2,/sbin/adbd,--root_seclabel=u:r:su:s0,
73,2749,1878,5.4,com.android.systemui,ndroid.systemui
73,2749,4006,3.6,logcat,-v time,
73,2749,249,1.8,/system/bin/servicemanager,
73,2749,153,1.8,[mmcqd/0],
73,2749,7158,1.8,[kworker/u16:7],
74,2759,834,6.5,system_server,
74,2759,7295,3.3,/sbin/adbd,--root_seclabel=u:r:su:s0,
74,2759,2634,1.1,com.android.phone,m.android.phone
74,2759,2681,1.1,com.android.settings,ndroid.settings
74,2759,251,1.1,/system/bin/surfaceflinger,
74,2759,284,1.1,/system/bin/aal,Binder_2
74,2759,4006,1.1,logcat,-v time,
75,2769,32462,9.2,uiautomator,
75,2769,834,2.6,system_server,
75,2769,2976,1.3,com.android.launcher3,droid.launcher3
76,2779,2976,5.4,com.android.launcher3,droid.launcher3
76,2779,251,2.7,/system/bin/surfaceflinger,
76,2779,7295,1.3,/sbin/adbd,--root_seclabel=u:r:su:s0,
76,2779,32459,1.3,logcat,-v time,
77,2789,2969,0.9,[hif_thread],
77,2789,2968,0.9,[tx_thread],
79,2809,57,0.7,[cfinteractive],
81,2829,2681,24.9,com.android.settings,ndroid.settings
81,2829,834,3.5,system_server,
81,2829,7295,3.5,/sbin/adbd,--root_seclabel=u:r:su:s0,
82,2839,2681,19.2,com.android.settings,ndroid.settings
82,2839,251,7.6,/system/bin/surfaceflinger,
82,2839,7295,3.8,/sbin/adbd,--root_seclabel=u:r:su:s0,
82,2839,32459,3.8,logcat,-v time,
82,2839,152,3.8,[mtk_charger_hv_],
82,2839,7158,3.8,[kworker/u16:7],
84,2859,15409,6,com.android.browser,android.browser
84,2859,153,4,[mmcqd/0],
84,2859,152,2,[mtk_charger_hv_],
85,2869,57,6.6,[cfinteractive],
86,2879,834,1.2,system_server,
86,2879,15409,1.2,com.android.browser,android.browser
86,2879,10441,0.6,com.android.testing.dummyime,esting.dummyime
86,2879,7295,0.6,/sbin/adbd,--root_seclabel=u:r:su:s0,
87,2892,3366,0.6,com.android.music,m.android.music
88,2902,2976,8.5,com.android.launcher3,droid.launcher3
88,2902,251,6.3,/system/bin/surfaceflinger,
88,2902,32459,6.3,logcat,-v time,
88,2902,834,4.2,system_server,
88,2902,7295,4.2,/sbin/adbd,--root_seclabel=u:r:su:s0,
88,2902,7158,2.1,[kworker/u16:7],
88,2902,5178,2.1,[kworker/3:2],
88,2902,16300,2.1,[kworker/0:2],
90,2922,15409,7.6,com.android.browser,android.browser
92,2942,2975,4.1,/system/bin/wpa_supplicant,-iwlan0 -Dnl80211 -c/data/misc/wifi/wpa_supplicant.conf -I/system/etc/wifi/wpa_supplicant_overlay.conf -N -ip2p0 -Dnl80211 -c/data/misc/wifi/p2p_supplicant.conf -e/data/misc/wifi/entropy.bin -ddd -I/system/etc/wifi/p2p_supplicant_overlay.conf -O/data/misc/wifi/sockets -g@android:wpa_wlan0,
92,2942,32459,4.1,logcat,-v time,
92,2942,834,2,system_server,
92,2942,2634,2,com.android.phone,m.android.phone
92,2942,21296,2,com.mediatek.ppl,om.mediatek.ppl
95,2972,7295,0.9,/sbin/adbd,--root_seclabel=u:r:su:s0,
99,3012,57,1.1,[cfinteractive],
100,3022,10095,18.5,com.android.dialer,.android.dialer
100,3022,834,7.4,system_server,
100,3022,29404,7.4,logcat,-v time,
100,3022,251,3.7,/system/bin/surfaceflinger,
100,3022,2975,3.7,/system/bin/wpa_supplicant,-iwlan0 -Dnl80211 -c/data/misc/wifi/wpa_supplicant.conf -I/system/etc/wifi/wpa_supplicant_overlay.conf -N -ip2p0 -Dnl80211 -c/data/misc/wifi/p2p_supplicant.conf -e/data/misc/wifi/entropy.bin -ddd -I/system/etc/wifi/p2p_supplicant_overlay.conf -O/data/misc/wifi/sockets -g@android:wpa_wlan0,
100,3022,7295,3.7,/sbin/adbd,--root_seclabel=u:r:su:s0,
100,3022,2969,3.7,[hif_thread],
100,3022,2968,3.7,[tx_thread],
100,3022,21357,3.7,[kworker/1:3],
101,3032,2634,2.1,com.android.phone,m.android.phone
102,3042,30343,10.1,com.android.incallui,ndroid.incallui
102,3042,7295,4.3,/sbin/adbd,--root_seclabel=u:r:su:s0,
102,3042,2634,2.9,com.android.phone,m.android.phone
102,3042,249,2.9,/system/bin/servicemanager,
102,3042,834,1.4,system_server,
102,3042,15409,1.4,com.android.browser,android.browser
